"Declaration Date","Incident Begin Date","Incident End Date","Declaration Type","State Name","Incident Type","Closeout Date","Region","State","County","City","Zip Code","Total Damage","Total Approved IHP Amount of Owner","Repair/Replace Amount of Owner","Rental Amount of Owner","Other Needs Amount of Owner","Total Approved IHP Amount of Renter","Repair/Replace Amount of Renter","Rental Amount of Renter","Other Needs Amount of Renter","lat","lon","Total_Support_Provided","Total_IHP_Approved_Amount","Support_Efficiency"
"9/3/04","8/30/04","9/8/04","Major Disaster","Virginia","Severe Storm","3/15/11",3,"VA","Henrico","RICHMOND",23228,460813.87,268908.81,205248.55,38608,25052.26,242326.87,0,119642,122550.99,37.6164453,-77.4816693,511101.8,511235.68,133
"9/3/04","8/30/04","9/8/04","Major Disaster","Virginia","Severe Storm","3/15/11",3,"VA","Hanover","MECHANICSVILLE",23111,452599.29,285488.33,221921.61,56773,6195.51,5353,0,5353,0,37.6087561,-77.3733139,290243.12,290841.33,598
"9/3/04","8/30/04","9/8/04","Major Disaster","Virginia","Severe Storm","3/15/11",3,"VA","Richmond","RICHMOND",23219,23118.58,15496.48,6212.2,1346,7938.28,121741.97,0,49006,72669.59,37.5410261,-77.4386429,137172.07,137238.45,66
"9/4/04","9/3/04","10/8/04","Major Disaster","Florida","Hurricane","4/10/23",4,"FL","Pinellas","OLDSMAR",34677,24131.7,11081.57,4056.14,2520,3245.43,138.93,0,0,138.93,28.0459972,-82.6807458,9960.5,11220.5,1260
"9/4/04","9/3/04","10/8/04","Major Disaster","Florida","Hurricane","4/10/23",4,"FL","Pinellas","MADEIRA BEACH",33708,2287.36,1673.43,572.57,0,470.86,0,0,0,0,27.7980814,-82.7973247,1043.43,1673.43,630
"9/4/04","9/3/04","10/8/04","Major Disaster","Florida","Hurricane","4/10/23",4,"FL","Miami-Dade","MIAMI",33133,129766.71,97170.2,44234.95,8898,41859.25,271328.75,0,82655,180687.75,25.7307897,-80.2377078,358334.95,368498.95,10164
"9/4/04","9/3/04","10/8/04","Major Disaster","Florida","Hurricane","4/10/23",4,"FL","Miami-Dade","MIAMI",33134,1185.49,2001,1275,0,0,3563.57,0,1808,1029.57,25.7564662,-80.2711588,4112.57,5564.57,1452
"9/4/04","9/3/04","10/8/04","Major Disaster","Florida","Hurricane","4/10/23",4,"FL","Pinellas","PALM HARBOR",34683,67707.83,27523.96,2605.84,3150,20951.19,7908.89,0,0,7278.89,28.0910357,-82.7616822,33985.92,35432.85,1446
"9/4/04","9/3/04","10/8/04","Major Disaster","Florida","Hurricane","4/10/23",4,"FL","Pinellas","LARGO",33778,34237.08,27893.46,12776.56,7114,7372.9,3636,0,3636,0,27.8830677,-82.7940297,30899.46,31529.46,630
"9/4/04","9/3/04","10/8/04","Major Disaster","Florida","Hurricane","4/10/23",4,"FL","Pinellas","PALM HARBOR",34685,6129.79,6028.99,1275,0,4123.99,0,0,0,0,28.0986691,-82.6861446,5398.99,6028.99,630
"9/4/04","9/3/04","10/8/04","Major Disaster","Florida","Hurricane","4/10/23",4,"FL","Polk","HOMELAND",33847,13159.68,10261.68,6227.19,1284,1832.49,3735.78,0,918,2358.78,27.8166109,-81.8244856,12620.46,13997.46,1377
"9/4/04","9/3/04","10/8/04","Major Disaster","Florida","Hurricane","4/10/23",4,"FL","Miami-Dade","MIAMI",33136,51154.21,46953.96,17956.4,14218,14779.56,1236099.69,0,334690,856397.69,25.7870967,-80.2042436,1238041.65,1283053.65,45012
"9/4/04","9/3/04","10/8/04","Major Disaster","Florida","Hurricane","4/10/23",4,"FL","Polk","HIGHLAND CITY",33846,70080.5,24485.78,17202.96,5928,1354.82,7762.05,0,3358,3486.05,27.9610228,-81.8804802,31329.83,32247.83,918
"9/4/04","9/3/04","10/8/04","Major Disaster","Florida","Hurricane","4/10/23",4,"FL","Pinellas","DUNEDIN",34698,124101.6,61968.47,36665.06,9634,13149.41,4683.57,0,3150,903.57,28.0339553,-82.7832489,63502.04,66652.04,3150
"9/4/04","9/3/04","10/8/04","Major Disaster","Florida","Hurricane","4/10/23",4,"FL","Miami-Dade","MIAMI",33135,24219.96,28178.93,11459.14,8646,7347.79,68990.15,0,13752,52334.15,25.7686714,-80.2349196,93539.08,97169.08,3629
"9/4/04","9/3/04","10/8/04","Major Disaster","Florida","Hurricane","4/10/23",4,"FL","Pinellas","CLEARWATER BEACH",33767,14399.23,5264.03,2622,2520,122.03,5175.21,0,3124,1336.81,27.972065,-82.8285877,9724.84,10439.24,714
"9/4/04","9/3/04","10/8/04","Major Disaster","Florida","Hurricane","4/10/23",4,"FL","Palm Beach","JUPITER",33458,3037378.53,1089857.08,217445.5,66127,728393.47,793488.62,0,199935,505906.42,26.931397,-80.109357,1717807.39,1883345.7,165538
"9/4/04","9/3/04","10/8/04","Major Disaster","Florida","Hurricane","4/10/23",4,"FL","Polk","WAHNETA",33880,78046.13,76872.33,39489.65,6898,29107.68,57129.5,0,7630,48122.5,27.9528015,-81.7270239,131247.83,134001.83,2754
"9/4/04","9/3/04","10/8/04","Major Disaster","Florida","Hurricane","4/10/23",4,"FL","Polk","WAVERLY",33877,303248.4,131440.04,80053.1,11693,37218.94,159975.49,0,22474,132804.45,27.9785466,-81.6532208,284243.49,291415.53,7172
"9/4/04","9/3/04","10/8/04","Major Disaster","Florida","Hurricane","4/10/23",4,"FL","Polk","WINTER HAVEN",33880,1194514.7,752001.19,321177.94,50791,364709.08,500936.59,0,117098,363619.52,27.9956037,-81.7896381,1217395.54,1252937.78,35542
"9/4/04","9/3/04","10/8/04","Major Disaster","Florida","Hurricane","4/10/23",4,"FL","Polk","WINTER HAVEN",33881,855043.4,517289.46,225484.77,79039,198912.79,698413.45,0,173780,504437.45,28.0600916,-81.7021049,1181654.01,1215702.91,34048
"9/4/04","9/3/04","10/8/04","Major Disaster","Florida","Hurricane","4/10/23",4,"FL","Polk","WINTER HAVEN",33884,589446.36,345316.61,106194.95,21884,208516.66,58040.85,0,18649,33991.89,27.9890156,-81.6802054,389236.5,403357.46,14120
"9/4/04","9/3/04","10/8/04","Major Disaster","Florida","Hurricane","4/10/23",4,"FL","Putnam","BOSTWICK",32007,63626.75,37760.11,18916.22,898,17496.89,11141.92,0,449,10243.92,29.7798027,-81.642556,48004.03,48902.03,898
"9/4/04","9/3/04","10/8/04","Major Disaster","Florida","Hurricane","4/10/23",4,"FL","Putnam","CRESCENT CITY",32112,741920.29,506449.26,242393.36,59866,191487.71,104054.48,0,34106,65089.98,29.4302514,-81.5106288,592943.05,610503.74,17560
"9/4/04","9/3/04","10/8/04","Major Disaster","Florida","Hurricane","4/10/23",4,"FL","Pinellas","GULFPORT",33707,11023.32,8264.13,5058.62,0,2575.51,25320.25,0,8230,17090.25,27.7514295,-82.7293193,32954.38,33584.38,629
"9/4/04","9/3/04","10/8/04","Major Disaster","Florida","Hurricane","4/10/23",4,"FL","Pinellas","INDIAN ROCKS BEACH",33785,9003.06,10163.72,1275,2074,6184.72,16597.46,0,9752,5278.54,27.8889267,-82.8506002,24564.26,26761.18,2196
"9/4/04","9/3/04","10/8/04","Major Disaster","Florida","Hurricane","4/10/23",4,"FL","Pinellas","LARGO",33770,56705.47,46083.71,26361.04,6602,11342.91,21770.8,0,3938,15942.8,27.9180298,-82.7940297,64186.75,67854.51,3667
"9/4/04","9/3/04","10/8/04","Major Disaster","Florida","Hurricane","4/10/23",4,"FL","Pinellas","LARGO",33771,37983.45,35129.82,20339.81,8670,4640.23,2848.86,0,1562,656.86,27.9046811,-82.7616822,35868.9,37978.68,2109
"9/4/04","9/3/04","10/8/04","Major Disaster","Florida","Hurricane","4/10/23",4,"FL","Pinellas","LARGO",33773,24946.68,24089.64,8025.4,2074,12100.24,3167.23,0,1260,1907.23,27.8780347,-82.7535929,25366.87,27256.87,1890
"9/4/04","9/3/04","10/8/04","Major Disaster","Florida","Hurricane","4/10/23",4,"FL","Putnam","HOLLISTER",32147,183132.27,65750.42,29604.32,5986,29711.1,4625.33,0,0,4625.33,29.6157473,-81.7979244,69926.75,70375.75,449
"9/4/04","9/3/04","10/8/04","Major Disaster","Florida","Hurricane","4/10/23",4,"FL","Putnam","INTERLACHEN",32148,1650241.27,964503.4,521221.3,52466,372666.44,189662.64,0,32050,150877.64,29.6238574,-81.8903684,1129281.38,1154166.04,24884
"9/4/04","9/3/04","10/8/04","Major Disaster","Florida","Hurricane","4/10/23",4,"FL","Putnam","LAKE COMO",32157,134310.99,45732.33,14225.68,4601,25109.65,5863.93,0,1914,3500.93,29.4845321,-81.5658163,49351.26,51596.26,2245
"9/4/04","9/3/04","10/8/04","Major Disaster","Florida","Hurricane","4/10/23",4,"FL","Putnam","MELROSE",32666,295100.63,179735.43,82381.51,6317,86995.92,11064.33,0,2266,8349.33,29.7098064,-82.0497944,186309.76,190799.76,4490
"9/4/04","9/3/04","10/8/04","Major Disaster","Florida","Hurricane","4/10/23",4,"FL","Putnam","PALATKA",32177,2299763.13,1309590.6,585975.14,90250,609766.6,929262.88,0,188184,729045.1,29.6485801,-81.6375819,2203220.84,2238853.48,35632
"9/4/04","9/3/04","10/8/04","Major Disaster","Florida","Hurricane","4/10/23",4,"FL","Putnam","POMONA PARK",32181,284046.34,173876.83,61687.47,16886,92608.51,19301.21,0,5986,12427.89,29.5002492,-81.5914659,189595.87,193178.04,3582
"9/4/04","9/3/04","10/8/04","Major Disaster","Florida","Hurricane","4/10/23",4,"FL","Putnam","EAST PALATKA",32131,631403.86,410360.39,170672.43,27751.59,205650.37,63625.5,4082,9191,49454.5,29.6583026,-81.5984139,466801.89,473985.89,7184
"9/4/04","9/3/04","10/8/04","Major Disaster","Florida","Hurricane","4/10/23",4,"FL","Putnam","FLORAHOME",32140,362743.47,191563.56,106719.21,8837,73313.35,12679.19,0,2032,10647.19,29.7327446,-81.8834269,201548.75,204242.75,2694
"9/4/04","9/3/04","10/8/04","Major Disaster","Florida","Hurricane","4/10/23",4,"FL","Putnam","GEORGETOWN",32139,216737.96,118761.93,44121.5,10689,63053.43,12880.08,0,1347,10186.08,29.3913622,-81.6386889,129397.01,131642.01,2244
"9/4/04","9/3/04","10/8/04","Major Disaster","Florida","Hurricane","4/10/23",4,"FL","Putnam","HAWTHORNE",32640,246649.5,176426.87,70472.43,10733,89657.49,19881.39,0,4136,13800.87,29.5919136,-82.0873181,188799.79,196308.26,7508
"9/4/04","9/3/04","10/8/04","Major Disaster","Florida","Hurricane","4/10/23",4,"FL","Pinellas","CLEARWATER",33764,44165.92,31901.19,14306.6,2520,12554.59,0,0,0,0,27.9385015,-82.7401087,29381.19,31901.19,2520
"9/4/04","9/3/04","10/8/04","Major Disaster","Florida","Hurricane","4/10/23",4,"FL","Pinellas","CLEARWATER",33765,55185.06,37762.05,16493.82,4712,15926.23,1371.53,0,0,1371.53,27.9765043,-82.7428057,38503.58,39133.58,630
"9/4/04","9/3/04","10/8/04","Major Disaster","Florida","Hurricane","4/10/23",4,"FL","Pinellas","CLEARWATER",33767,2583.26,11460,10200,630,0,1890,0,1260,0,27.9779747,-82.8263615,12090,13350,1260
"9/4/04","9/3/04","10/8/04","Major Disaster","Florida","Hurricane","4/10/23",4,"FL","Polk","LAKE WALES",33853,813912.75,301270.7,152056.17,28370,101623.6,636771.77,0,163848,431373.37,27.907758,-81.5870604,877271.14,938042.47,60771
"9/4/04","9/3/04","10/8/04","Major Disaster","Florida","Hurricane","4/10/23",4,"FL","Polk","LAKE WALES",33859,1100027.47,350457.93,179084.07,28150,122944.26,185550.83,0,41254,128231.83,27.8687197,-81.614468,499664.16,536008.76,36344
"9/4/04","9/3/04","10/8/04","Major Disaster","Florida","Hurricane","4/10/23",4,"FL","Polk","LAKE WALES",33898,1471682.31,752766.87,377528.84,69837,274801.9,280011.92,0,78685,184667.6,27.9014133,-81.5859099,985520.34,1032778.79,47258
"9/4/04","9/3/04","10/8/04","Major Disaster","Florida","Hurricane","4/10/23",4,"FL","Polk","LOUGHMAN",33858,39663.53,24104.26,17260.6,1863,4062.66,16957.2,0,6137,10361.2,28.24151,-81.56697,39684.46,41061.46,1377
"9/4/04","9/3/04","10/8/04","Major Disaster","Florida","Hurricane","4/10/23",4,"FL","Polk","MULBERRY",33860,538097.23,305851.14,138726.76,15758,144216.96,59139.95,0,16968,40335.95,27.8953038,-81.9734172,356005.67,364991.09,8985
"9/4/04","9/3/04","10/8/04","Major Disaster","Florida","Hurricane","4/10/23",4,"FL","Polk","POINCIANA",34759,42305.29,21606.95,9110.64,5074,6963.31,10888.52,0,5219,4292.52,28.1026718,-81.4498717,30659.47,32495.47,1836
"9/4/04","9/3/04","10/8/04","Major Disaster","Florida","Hurricane","4/10/23",4,"FL","Polk","POLK CITY",33868,781702.05,384055.33,213120.45,32089,130812.06,24823.74,0,10880,13025.74,28.1825147,-81.8239676,399927.25,408879.07,8951
"9/4/04","9/3/04","10/8/04","Major Disaster","Florida","Hurricane","4/10/23",4,"FL","Seminole","ALTAMONTE SPRINGS",32701,360136.88,197297.07,45886.37,15254,128414.9,134186.74,0,54851,70404.74,28.6659654,-81.3729372,314811.01,331483.81,16672
"9/4/04","9/3/04","10/8/04","Major Disaster","Florida","Hurricane","4/10/23",4,"FL","Seminole","ALTAMONTE SPRINGS",32714,391016.49,208307.09,56442.91,11440,130001.78,118193.14,0,33855,74435.34,28.6626293,-81.4114142,306175.03,326500.23,20325
"9/4/04","9/3/04","10/8/04","Major Disaster","Florida","Hurricane","4/10/23",4,"FL","Seminole","APOPKA",32703,166007.8,73651.4,9205.41,5944,57127.99,19616.07,0,9736,9880.07,28.6539165,-81.5486728,91893.47,93267.47,1374
"9/4/04","9/3/04","10/8/04","Major Disaster","Florida","Hurricane","4/10/23",4,"FL","Seminole","CASSELBERRY",32707,789808.55,375460.89,76560.94,36113,237268.71,156609.15,0,64893,80259.71,28.6678749,-81.3124341,495095.36,532070.04,36974
"9/4/04","9/3/04","10/8/04","Major Disaster","Florida","Hurricane","4/10/23",4,"FL","Seminole","CASSELBERRY",32708,4462.45,1539.87,0,0,852.87,0,0,0,0,28.6820373,-81.2628961,852.87,1539.87,686
"9/4/04","9/3/04","10/8/04","Major Disaster","Florida","Hurricane","4/10/23",4,"FL","Pinellas","PINELLAS PARK",33781,44523.06,27595.34,7170.23,5224,13810.13,18490.95,0,2494,14736.95,27.8435655,-82.7077354,43435.31,46086.29,2650
"9/4/04","9/3/04","10/8/04","Major Disaster","Florida","Hurricane","4/10/23",4,"FL","Pinellas","REDINGTON BEACH",33708,10154.4,0,0,0,0,630,0,0,0,27.8086364,-82.811214,0,630,630
"9/4/04","9/3/04","10/8/04","Major Disaster","Florida","Hurricane","4/10/23",4,"FL","Pinellas","SAFETY HARBOR",34695,21539.08,20598.24,6972.64,6786,6209.6,0,0,0,0,28.0055309,-82.6861446,19968.24,20598.24,630
"9/4/04","9/3/04","10/8/04","Major Disaster","Florida","Hurricane","4/10/23",4,"FL","Pinellas","SAINT PETERSBURG",33701,10842.06,9944.52,7833.3,1562,549.22,43330.76,0,22040,20537.51,27.7696063,-82.6321376,52522.03,53275.28,753
"9/4/04","9/3/04","10/8/04","Major Disaster","Florida","Hurricane","4/10/23",4,"FL","Pinellas","SAINT PETERSBURG",33702,36025.02,31349.18,15938.62,8820,4700.56,15999.58,0,6904,8465.58,27.8512042,-82.6321376,44828.76,47348.76,2519
"9/4/04","9/3/04","10/8/04","Major Disaster","Florida","Hurricane","4/10/23",4,"FL","Pinellas","SAINT PETERSBURG",33703,134897.89,46100.87,19538.25,12246,9276.62,10696.26,0,2074,7362.26,27.8156609,-82.6213311,50497.13,56797.13,6300
"9/4/04","9/3/04","10/8/04","Major Disaster","Florida","Hurricane","4/10/23",4,"FL","Pinellas","SAINT PETERSBURG",33705,155580.96,130884.9,78261.65,26863,23870.25,295311.48,0,137726,156955.48,27.7346248,-82.6321376,423676.38,426196.38,2520
"9/4/04","9/3/04","10/8/04","Major Disaster","Florida","Hurricane","4/10/23",4,"FL","Putnam","SAN MATEO",32187,349127.96,204921.24,80878.63,16249,102429.24,43951.76,0,14074,27804.9,29.6066367,-81.5845234,241435.77,248873,7437
"9/4/04","9/3/04","10/8/04","Major Disaster","Florida","Hurricane","4/10/23",4,"FL","Putnam","SATSUMA",32189,624607.28,444459.6,167643.97,45384,224160.43,68744.41,0,15430,52416.41,29.5549701,-81.6559137,505034.81,513204.01,8169
"9/4/04","9/3/04","10/8/04","Major Disaster","Florida","Hurricane","4/10/23",4,"FL","Putnam","WELAKA",32193,156583.68,123446.74,55598.7,7598,59801.04,15876.57,0,7805,7622.57,29.4791378,-81.6714687,138425.31,139323.31,898
"9/4/04","9/3/04","10/8/04","Major Disaster","Florida","Hurricane","4/10/23",4,"FL","Sarasota","NOKOMIS",34275,14177.4,7100.67,5100,1114,886.67,303.6,0,0,0,27.1192213,-82.4442629,7100.67,7404.27,303
"9/4/04","9/3/04","10/8/04","Major Disaster","Florida","Hurricane","4/10/23",4,"FL","Miami-Dade","MIAMI",33129,9301.71,7527.09,6490.2,0,1036.89,13648.02,0,726,12196.02,25.7564471,-80.2056382,20449.11,21175.11,726
"9/4/04","9/3/04","10/8/04","Major Disaster","Florida","Hurricane","4/10/23",4,"FL","Miami-Dade","MIAMI",33130,1433.73,1433.73,870.11,0,563.62,53299.17,0,16618,34503.17,25.7667897,-80.2070328,52554.9,54732.9,2178
"9/4/04","9/3/04","10/8/04","Major Disaster","Florida","Hurricane","4/10/23",4,"FL","Polk","DAVENPORT",33836,27188.73,25893.14,16957.68,1836,7099.46,8731.23,0,3449,4823.23,28.1539552,-81.5996453,34165.37,34624.37,459
"9/4/04","9/3/04","10/8/04","Major Disaster","Florida","Hurricane","4/10/23",4,"FL","Polk","DAVENPORT",33837,712236.44,456396.47,221621.61,47369,178334,89467.66,0,20638,64786.9,28.1614046,-81.6017417,532749.51,545864.13,13114
"9/4/04","9/3/04","10/8/04","Major Disaster","Florida","Hurricane","4/10/23",4,"FL","Polk","DAVENPORT",33896,111035.63,48913.64,16693.63,5440,23355.84,15084.88,0,2872,12212.88,28.1614046,-81.6017417,60574.35,63998.52,3424
"9/4/04","9/3/04","10/8/04","Major Disaster","Florida","Hurricane","4/10/23",4,"FL","Polk","DAVENPORT",33897,44345.21,30349.86,18616.35,3933,6976.89,3419.42,0,0,2960.42,28.1614046,-81.6017417,32486.66,33769.28,1282
"9/4/04","9/3/04","10/8/04","Major Disaster","Florida","Hurricane","4/10/23",4,"FL","Polk","DUNDEE",33838,364281.07,145454.59,84298.52,9218,45053.07,74262.99,0,15234,54897.99,28.0137432,-81.6089873,208701.58,219717.58,11016
"9/4/04","9/3/04","10/8/04","Major Disaster","Florida","Hurricane","4/10/23",4,"FL","Polk","EAGLE LAKE",33839,126813.62,82352.02,46458.17,3449,31067.85,53203.96,0,9100,43644.96,27.9758658,-81.7513551,133719.98,135555.98,1836
"9/4/04","9/3/04","10/8/04","Major Disaster","Florida","Hurricane","4/10/23",4,"FL","Polk","EATON PARK",33840,23198.65,18506.44,13439.18,918,4149.26,11038.41,0,2320,7800.41,28.0104675,-81.90699,28626.85,29544.85,917
"9/4/04","9/3/04","10/8/04","Major Disaster","Florida","Hurricane","4/10/23",4,"FL","Polk","ELOISE",33880,35413.61,36361.2,14034.46,7134,15192.74,11019.42,0,1377,9183.42,27.9947446,-81.7381349,46921.62,47380.62,459
"9/4/04","9/3/04","10/8/04","Major Disaster","Florida","Hurricane","4/10/23",4,"FL","Polk","FEDHAVEN",33854,4189.58,4748.4,3830.4,0,0,6976.35,0,918,6058.35,27.85509,-81.41206,10806.75,11724.75,918
"9/4/04","9/3/04","10/8/04","Major Disaster","Florida","Hurricane","4/10/23",4,"FL","Polk","FORT MEADE",33841,464069.8,366072.19,192501.17,50561,113371.02,154169.51,0,44972,101227.26,27.7522526,-81.8017491,502632.45,520241.7,17609
"9/4/04","9/3/04","10/8/04","Major Disaster","Florida","Hurricane","4/10/23",4,"FL","Polk","FROSTPROOF",33843,1078178.45,594128.15,339107.35,40601,201567.8,218226.24,0,52049,158374.24,27.7458626,-81.5306313,791699.39,812354.39,20655
"9/4/04","9/3/04","10/8/04","Major Disaster","Florida","Hurricane","4/10/23",4,"FL","Polk","HAINES CITY",33844,1605478.94,819998.81,419958.21,56081,314165.42,571831.93,0,133811,404465.6,28.1141841,-81.6178536,1328481.23,1391830.74,63349
"9/4/04","9/3/04","10/8/04","Major Disaster","Florida","Hurricane","4/10/23",4,"FL","St. Lucie","HUTCHINSON ISLAND",34949,277998.59,72118.19,26727.3,7889,30812.68,34279.18,0,7686,23299.18,27.463152,-80.3045967,96414.16,106397.37,9983
"9/4/04","9/3/04","10/8/04","Major Disaster","Florida","Hurricane","4/10/23",4,"FL","St. Lucie","JENSEN BEACH",34957,1350534.14,434736.29,212762.24,42054,141065.07,84102.26,0,24881,47141.26,27.2544906,-80.2297697,467903.57,518838.55,50934
"9/4/04","9/3/04","10/8/04","Major Disaster","Florida","Hurricane","4/10/23",4,"FL","St. Lucie","PORT SAINT LUCIE",34952,10303297.74,2657310.15,1038809.58,223041.59,1037800.65,1237012.4,5100,446172.84,699936.29,27.2932971,-80.2878794,3450860.95,3894322.55,443461
"9/4/04","9/3/04","10/8/04","Major Disaster","Florida","Hurricane","4/10/23",4,"FL","St. Lucie","PORT SAINT LUCIE",34953,7947094.21,2460007.49,280510.92,97634,1794268.97,740056.63,0,225018,454686.66,27.2420429,-80.3881333,2852118.55,3200064.12,347945
"9/4/04","9/3/04","10/8/04","Major Disaster","Florida","Hurricane","4/10/23",4,"FL","St. Lucie","PORT SAINT LUCIE",34983,8396247.93,2424803.54,421832.55,92586,1599758.94,1193741.74,49.2,416873.92,696238.87,27.3212214,-80.3547286,3227339.48,3618545.28,391205
"9/4/04","9/3/04","10/8/04","Major Disaster","Florida","Hurricane","4/10/23",4,"FL","St. Lucie","PORT SAINT LUCIE",34984,3098835.24,735217.39,100531.35,24142,520589.19,266329.57,0,82856,163456.54,27.2444014,-80.3380213,891575.08,1001546.96,109971
"9/4/04","9/3/04","10/8/04","Major Disaster","Florida","Hurricane","4/10/23",4,"FL","St. Lucie","PORT SAINT LUCIE",34986,639131.36,212068.82,23290.49,2520,175278.33,93227.71,0,32907,55134.41,27.3258344,-80.4215246,289130.23,305296.53,16166
"9/4/04","9/3/04","10/8/04","Major Disaster","Florida","Hurricane","4/10/23",4,"FL","St. Lucie","PORT SAINT LUCIE",34987,477740.17,176828.97,32654.47,8666,122046.45,66242.91,0,18029,41806.01,27.2977589,-80.5216184,223201.93,243071.88,19869
"9/4/04","9/3/04","10/8/04","Major Disaster","Florida","Hurricane","4/10/23",4,"FL","St. Lucie","PORT ST LUCIE",34952,33007.61,5788.27,1249.8,1422,920.47,1647,0,1098,0,27.2932971,-80.2878794,4690.27,7435.27,2745
"9/4/04","9/3/04","10/8/04","Major Disaster","Florida","Hurricane","4/10/23",4,"FL","St. Lucie","PORT ST LUCIE",34953,24500.66,6660.3,0,0,5562.3,106.47,0,0,106.47,27.2420429,-80.3881333,5668.77,6766.77,1098
"9/4/04","9/3/04","10/8/04","Major Disaster","Florida","Hurricane","4/10/23",4,"FL","St. Lucie","PORT ST LUCIE",34983,16447.62,4041.13,414.76,0,2528.37,500,0,0,500,27.3212214,-80.3547286,3443.13,4541.13,1098
"9/4/04","9/3/04","10/8/04","Major Disaster","Florida","Hurricane","4/10/23",4,"FL","St. Lucie","PORT ST LUCIE",34984,7557.4,3418.76,1275,0,1594.76,9912.02,0,1301,8062.02,27.2444014,-80.3380213,12232.78,13330.78,1098
"9/4/04","9/3/04","10/8/04","Major Disaster","Florida","Hurricane","4/10/23",4,"FL","St. Lucie","SAINT LUCIE WEST",34953,2572.14,3260.18,41,0,2670.18,1850,0,1850,0,27.3243007,-80.3992652,4561.18,5110.18,549
"9/4/04","9/3/04","10/8/04","Major Disaster","Florida","Hurricane","4/10/23",4,"FL","St. Lucie","VERO BEACH",32960,0,0,0,0,0,8326.36,0,0,7777.36,27.499208,-80.3421984,7777.36,8326.36,549
"9/4/04","9/3/04","10/8/04","Major Disaster","Florida","Hurricane","4/10/23",4,"FL","Sumter","BUSHNELL",33513,576581.72,346230.36,168525.21,24566,145880.63,60090.52,1275,12160,45142.2,28.6649924,-82.1128629,397549.04,406320.88,8771
"9/4/04","9/3/04","10/8/04","Major Disaster","Florida","Hurricane","4/10/23",4,"FL","Sumter","CENTER HILL",33514,236462.37,94258.19,50390.44,6164,34560.75,2239.24,0,0,1790.24,28.6499942,-81.9925814,92905.43,96497.43,3592
"9/4/04","9/3/04","10/8/04","Major Disaster","Florida","Hurricane","4/10/23",4,"FL","Sumter","COLEMAN",33521,52755.39,54556.18,33671.57,4608,15827.61,38146.07,0,7883,29365.07,28.8009712,-82.0600826,91355.25,92702.25,1347
"9/4/04","9/3/04","10/8/04","Major Disaster","Florida","Hurricane","4/10/23",4,"FL","Sumter","LADY LAKE",32162,45563.8,17431.6,14119.9,2363,50.7,1147.27,0,0,1147.27,28.9121162,-81.986206,17680.87,18578.87,897
"9/4/04","9/3/04","10/8/04","Major Disaster","Florida","Hurricane","4/10/23",4,"FL","Sumter","LAKE PANASOFFKEE",33538,324132.39,190178.4,108562.79,10979,65883.86,21094.1,0,1016,19629.1,28.7876707,-82.1332818,206070.75,211272.5,5201
"9/4/04","9/3/04","10/8/04","Major Disaster","Florida","Hurricane","4/10/23",4,"FL","Sumter","OXFORD",34484,223264.81,112388.76,28852.48,6338,75851.28,27104.01,0,4698,21957.01,28.9274834,-82.0373039,137696.77,139492.77,1796
"9/4/04","9/3/04","10/8/04","Major Disaster","Florida","Hurricane","4/10/23",4,"FL","Sumter","SUMTERVILLE",33585,71228.5,54842.66,15819.8,4434,32792.86,3757.12,0,0,3757.12,28.7449901,-82.063418,56803.78,58599.78,1796
"9/4/04","9/3/04","10/8/04","Major Disaster","Florida","Hurricane","4/10/23",4,"FL","Sumter","WEBSTER",33597,7941815.75,496040.38,247180.44,39782,193146.94,72846.21,0,19698,51258.05,28.6099949,-82.0550827,551065.43,568886.59,17821
"9/4/04","9/3/04","10/8/04","Major Disaster","Florida","Hurricane","4/10/23",4,"FL","Sumter","WILDWOOD",34785,743133.32,439015.57,204091.93,39808,186135.64,204041.65,0,16253,183170.25,28.8356269,-82.0625052,629458.82,643057.22,13598
"9/4/04","9/3/04","10/8/04","Major Disaster","Florida","Hurricane","4/10/23",4,"FL","Suwannee","LIVE OAK",32060,325652.27,254085.13,137682.61,15272,100920.37,24772.72,0,6330,18442.72,30.2949457,-82.98402,278647.7,278857.85,210
"9/4/04","9/3/04","10/8/04","Major Disaster","Florida","Hurricane","4/10/23",4,"FL","Union","LAKE BUTLER",32054,439366.31,358419.91,189378.71,16145,148015.88,82017.37,0,13284,68733.37,30.0227391,-82.3395574,435556.96,440437.28,4880
"9/4/04","9/3/04","10/8/04","Major Disaster","Florida","Hurricane","4/10/23",4,"FL","Union","RAIFORD",32083,80829.99,54105.53,39280.55,1016,12910.98,2200.45,0,1016,1184.45,30.0638497,-82.2364997,55407.98,56305.98,898
"9/4/04","9/3/04","10/8/04","Major Disaster","Florida","Hurricane","4/10/23",4,"FL","Union","WORTHINGTON SPRINGS",32697,28074.91,23588.71,19032.82,0,4333.56,8290.3,0,898,7392.3,29.9305206,-82.4258444,31656.68,31879.01,222
"9/4/04","9/3/04","10/8/04","Major Disaster","Florida","Hurricane","4/10/23",4,"FL","Volusia","BARBERVILLE",32105,37970.57,30374.35,13151.73,2240,14982.62,1480.07,0,0,988.07,29.1872191,-81.4219513,31362.42,31854.42,492
"9/4/04","9/3/04","10/8/04","Major Disaster","Florida","Hurricane","4/10/23",4,"FL","Volusia","CASSADAGA",32706,35354.63,12925.44,6135.81,0,6297.63,3305.46,0,984,2321.46,28.9638729,-81.2371684,15738.9,16230.9,492
